针 O
对 O
S O
G O
J O
D O
B O
C O
驱 O
动 O
测 O
试 O
适 B-EIF
配 I-EIF
S O
G O
J O
D O
B O
C O
驱 O
动 O
发 O
送 O
D B-EIF
M I-EIF
L I-EIF
语 B-EIF
句 I-EIF
主 O
要 O
包 O
括 O
u O
p O
d O
a O
t O
e O
i O
n O
s O
e O
r O
t O
d O
e O
l O
e O
t O
e O
r O
e O
p O
l O
a O
c O
e O
]
针 O
对 O
S O
G O
J O
D O
B O
C O
驱 O
动 O
测 O
试 O
适 B-EIF
配 I-EIF
S O
G O
J O
D O
B O
C O
驱 O
动 O
发 O
送 O
D B-EIF
D I-EIF
L I-EIF
语 B-EIF
句 I-EIF
主 O
要 O
包 O
括 O
c O
r O
e O
a O
t O
e O
d O
r O
o O
p O
a O
l O
t O
e O
r O
t O
r O
u O
n O
c O
a O
t O
e O
t O
a O
b O
l O
e O
c O
r O
e O
a O
t O
e O
d O
r O
o O
p O
d O
a O
t O
a O
b O
a O
s O
e O
]
针 O
对 O
S O
G O
J O
D O
B O
C O
驱 O
动 O
发 O
送 O
c B-EIF
o I-EIF
m I-EIF
_ B-EIF
e B-EIF
x I-EIF
e I-EIF
c I-EIF
u I-EIF
t I-EIF
e I-EIF
语 B-EIF
句 I-EIF
进 O
行 O
进 O
行 O
缓 O
冲 O
事 B-EIF
务 I-EIF
进 O
行 O
批 B-EIF
量 I-EIF
提 B-EIF
交 I-EIF
]
集 O
群 O
横 O
向 O
扩 O
展 O
过 O
程 O
中 O
全 O
量 O
数 O
据 O
迁 O
移 O
部 O
分 O
使 O
用 O
l O
o O
a O
d O
模 O
式 O
进 O
行 O
数 O
据 O
投 O
递 O
]
集 O
群 O
横 O
向 O
扩 O
展 O
过 O
程 O
中 O
全 B-EIF
量 I-EIF
数 B-EIF
据 I-EIF
迁 B-EIF
移 I-EIF
部 O
分 O
使 O
用 O
物 B-EIF
理 I-EIF
模 I-EIF
式 I-EIF
进 O
行 O
数 B-EIF
据 I-EIF
投 O
递 O
]
L O
o O
a O
d O
语 O
句 O
依 O
据 O
后 B-EIF
端 B-EIF
数 O
据 O
节 O
点 O
最 O
大 O
允 O
许 O
数 O
据 O
包 O
大 O
小 O
自 O
动 O
调 O
整 O
下 O
发 O
数 O
据 O
包 O
大 O
小 O
]
调 B-EIF
整 I-EIF
集 O
群 O
调 B-EIF
度 I-EIF
节 B-EIF
点 I-EIF
架 B-EIF
构 I-EIF
面 O
向 O
扁 B-EIF
平 I-EIF
化 I-EIF
调 B-EIF
度 I-EIF
节 B-EIF
点 I-EIF
感 O
知 O
最 O
近 O
数 O
据 O
节 B-EIF
点 I-EIF
]
扁 B-EIF
平 I-EIF
化 I-EIF
执 B-EIF
行 I-EIF
计 O
划 O
进 B-EIF
行 I-EIF
展 B-EIF
现 I-EIF
允 O
许 O
日 O
志 O
途 O
径 O
获 O
取 O
扁 B-EIF
平 I-EIF
化 I-EIF
执 B-EIF
行 I-EIF
过 O
程 O
中 O
具 O
体 O
错 O
误 O
信 O
息 O
执 B-EIF
行 I-EIF
节 O
点 O
]
允 O
许 O
调 O
度 O
节 O
点 O
集 O
群 O
在 O
线 O
添 B-EIF
加 I-EIF
新 B-EIF
分 B-EIF
片 I-EIF
配 B-EIF
置 I-EIF
调 O
度 O
节 O
点 O
上 B-EIF
同 O
步 O
]
允 O
许 O
调 O
度 O
节 O
点 O
集 O
群 O
在 O
线 O
删 B-EIF
除 I-EIF
分 B-EIF
库 I-EIF
配 B-EIF
置 I-EIF
调 O
度 O
节 O
点 O
上 O
同 O
步 O
]
异 B-EIF
步 I-EIF
I B-EIF
O I-EIF
执 B-EIF
行 I-EIF
过 O
程 O
中 O
调 O
度 O
节 O
点 O
状 B-EIF
态 I-EIF
信 B-EIF
息 I-EIF
进 B-EIF
行 I-EIF
收 B-EIF
集 I-EIF
提 O
供 O
新 O
集 O
群 O
管 O
理 O
命 O
令 O
进 B-EIF
行 I-EIF
展 B-EIF
现 I-EIF
]
异 B-EIF
步 I-EIF
I B-EIF
O I-EIF
模 O
型 O
执 O
行 O
过 O
程 O
中 O
可 O
能 O
存 O
在 O
线 O
程 O
短 O
缺 O
导 O
致 O
阻 B-EIF
塞 I-EIF
自 O
动 O
进 O
行 O
检 O
测 O
自 O
动 O
进 O
行 O
处 B-EIF
理 I-EIF
]
允 O
许 O
集 O
群 O
自 O
动 O
检 O
测 O
处 O
理 O
分 B-EIF
布 I-EIF
式 I-EIF
事 O
务 O
分 B-EIF
布 I-EIF
式 I-EIF
死 B-EIF
锁 I-EIF
]
调 B-EIF
度 I-EIF
节 B-EIF
点 I-EIF
数 B-EIF
据 I-EIF
节 B-EIF
点 I-EIF
进 O
行 O
状 O
态 O
性 O
能 O
监 B-EIF
控 I-EIF
采 O
集 O
监 B-EIF
控 I-EIF
数 B-EIF
据 I-EIF
]
支 O
持 O
租 B-EIF
户 I-EIF
使 O
用 O
资 B-EIF
源 I-EIF
进 O
行 O
合 O
理 O
化 O
配 B-EIF
置 I-EIF
]
支 O
持 O
备 B-EIF
份 I-EIF
数 B-EIF
据 I-EIF
文 I-EIF
件 I-EIF
进 O
行 O
查 B-EIF
询 I-EIF
删 O
除 O
管 O
理 O
操 O
作 O
]
冗 O
余 O
副 B-EIF
本 I-EIF
数 B-EIF
据 I-EIF
支 O
持 O
副 B-EIF
本 I-EIF
数 B-EIF
据 I-EIF
进 O
行 O
实 O
时 O
监 B-EIF
控 I-EIF
]
支 O
持 O
传 O
统 O
架 O
构 O
下 B-EIF
物 B-EIF
理 I-EIF
机 B-EIF
环 O
境 O
中 B-EIF
自 B-EIF
动 I-EIF
化 I-EIF
编 B-EIF
排 I-EIF
部 B-EIF
署 I-EIF
]
支 O
持 O
集 O
群 O
任 B-EIF
务 I-EIF
展 B-EIF
现 I-EIF
自 O
动 O
化 O
更 O
新 O
方 O
便 O
用 O
户 O
了 O
解 O
集 O
群 O
工 O
作 O
状 O
态 O
]
统 B-EIF
计 I-EIF
云 O
端 O
发 O
生 O
数 O
据 O
流 B-EIF
量 I-EIF
]
支 O
持 O
对 B-EIF
云 I-EIF
D B-EIF
B I-EIF
A I-EIF
A I-EIF
S I-EIF
节 B-EIF
点 I-EIF
实 O
例 O
进 O
行 O
快 O
照 O
管 O
理 O
创 B-EIF
建 I-EIF
删 O
除 O
]
允 O
许 O
配 O
置 O
设 O
定 O
集 O
群 O
允 O
许 O
执 O
行 O
S O
Q O
L O
语 O
句 O
模 O
板 O
]
自 O
动 O
收 O
集 O
汇 B-EIF
总 I-EIF
集 O
群 O
S B-EIF
Q I-EIF
L I-EIF
执 B-EIF
行 I-EIF
过 O
程 O
中 O
统 B-EIF
计 I-EIF
信 O
息 O
提 O
供 O
集 O
群 O
命 O
令 O
进 B-EIF
行 I-EIF
展 O
现 O
]
提 O
供 O
集 B-EIF
群 I-EIF
拓 B-EIF
扑 I-EIF
展 B-EIF
现 I-EIF
工 O
具 O
允 O
许 O
d O
b O
s O
c O
a O
l O
e O
直 O
接 O
视 O
图 O
查 O
看 O
集 B-EIF
群 I-EIF
最 O
新 O
状 O
态 O
信 O
息 O
]
提 O
供 O
日 B-EIF
志 I-EIF
管 O
理 O
工 O
具 O
允 O
许 O
用 O
户 O
查 O
看 O
清 B-EIF
理 I-EIF
数 B-EIF
据 I-EIF
库 I-EIF
日 B-EIF
志 I-EIF
]
允 O
许 O
集 B-EIF
群 I-EIF
自 O
动 O
安 O
装 O
过 O
程 O
中 B-EIF
基 O
于 O
配 B-EIF
置 I-EIF
模 B-EIF
板 I-EIF
进 O
行 O
快 O
速 O
安 O
装 O
允 O
许 O
模 B-EIF
板 I-EIF
管 B-EIF
理 I-EIF
]
提 O
供 O
默 O
认 O
策 O
略 O
集 B-EIF
基 B-EIF
于 I-EIF
C O
I O
S O
或 O
同 O
等 O
级 O
合 O
规 O
标 B-EIF
准 I-EIF
配 O
置 O
默 O
认 O
检 B-EIF
查 I-EIF
策 O
略 O
]
提 O
供 O
保 B-EIF
三 B-EIF
级 I-EIF
核 B-EIF
查 I-EIF
策 O
略 O
集 B-EIF
]
支 O
持 O
检 B-EIF
查 I-EIF
标 O
准 O
库 B-EIF
随 O
意 O
切 O
换 O
]
自 B-EIF
定 I-EIF
义 I-EIF
核 B-EIF
查 I-EIF
策 B-EIF
略 I-EIF
条 O
目 O
进 O
行 O
在 O
线 O
离 O
线 O
校 O
验 O
]
支 O
持 O
帐 B-EIF
户 I-EIF
检 O
测 O
密 O
码 O
策 O
略 O
锁 O
定 O
