针 O
对 O
S O
G O
J O
D O
B O
C O
驱 O
动 O
测 O
试 O
适 B-EO
配 I-EO
S O
G O
J O
D O
B O
C O
驱 O
动 O
发 O
送 O
D B-EO
M I-EO
L I-EO
语 B-EO
句 I-EO
主 O
要 O
包 O
括 O
u O
p O
d O
a O
t O
e O
i O
n O
s O
e O
r O
t O
d O
e O
l O
e O
t O
e O
r O
e O
p O
l O
a O
c O
e O
]
针 O
对 O
S O
G O
J O
D O
B O
C O
驱 O
动 O
测 O
试 O
适 B-EO
配 I-EO
S O
G O
J O
D O
B O
C O
驱 O
动 O
发 O
送 O
D B-EO
D I-EO
L I-EO
语 B-EO
句 I-EO
主 O
要 O
包 O
括 O
c O
r O
e O
a O
t O
e O
d O
r O
o O
p O
a O
l O
t O
e O
r O
t O
r O
u O
n O
c O
a O
t O
e O
t O
a O
b O
l O
e O
c O
r O
e O
a O
t O
e O
d O
r O
o O
p O
d O
a O
t O
a O
b O
a O
s O
e O
]
针 O
对 O
S O
G O
J O
D O
B O
C O
驱 O
动 O
发 O
送 O
c B-EI
o I-EI
m I-EI
_ B-EI
e B-EI
x I-EI
e I-EI
c I-EI
u I-EI
t I-EI
e I-EI
语 B-EI
句 I-EI
进 O
行 O
进 O
行 O
缓 O
冲 O
事 B-EI
务 I-EI
进 O
行 O
批 B-EI
量 I-EI
提 B-EI
交 I-EI
]
集 O
群 O
横 O
向 O
扩 O
展 O
过 O
程 O
中 O
全 O
量 O
数 O
据 O
迁 O
移 O
部 O
分 O
使 O
用 O
l O
o O
a O
d O
模 O
式 O
进 O
行 O
数 O
据 O
投 O
递 O
]
集 O
群 O
横 O
向 O
扩 O
展 O
过 O
程 O
中 O
全 B-EI
量 I-EI
数 B-EI
据 I-EI
迁 B-EI
移 I-EI
部 O
分 O
使 O
用 O
物 B-EI
理 I-EI
模 I-EI
式 I-EI
进 O
行 O
数 B-EI
据 I-EI
投 O
递 O
]
L O
o O
a O
d O
语 O
句 O
依 O
据 O
后 B-EI
端 B-EI
数 O
据 O
节 O
点 O
最 O
大 O
允 O
许 O
数 O
据 O
包 O
大 O
小 O
自 O
动 O
调 O
整 O
下 O
发 O
数 O
据 O
包 O
大 O
小 O
]
调 B-EI
整 I-EI
集 O
群 O
调 B-EI
度 I-EI
节 B-EI
点 I-EI
架 B-EI
构 I-EI
面 O
向 O
扁 B-EI
平 I-EI
化 I-EI
调 B-EI
度 I-EI
节 B-EI
点 I-EI
感 O
知 O
最 O
近 O
数 O
据 O
节 B-EI
点 I-EI
]
扁 B-EO
平 I-EO
化 I-EO
执 B-EO
行 I-EO
计 O
划 O
进 B-EO
行 I-EO
展 B-EO
现 I-EO
允 O
许 O
日 O
志 O
途 O
径 O
获 O
取 O
扁 B-EO
平 I-EO
化 I-EO
执 B-EO
行 I-EO
过 O
程 O
中 O
具 O
体 O
错 O
误 O
信 O
息 O
执 B-EO
行 I-EO
节 O
点 O
]
允 O
许 O
调 O
度 O
节 O
点 O
集 O
群 O
在 O
线 O
添 B-EI
加 I-EI
新 B-EI
分 B-EI
片 I-EI
配 B-EI
置 I-EI
调 O
度 O
节 O
点 O
上 B-EI
同 O
步 O
]
允 O
许 O
调 O
度 O
节 O
点 O
集 O
群 O
在 O
线 O
删 B-EI
除 I-EI
分 B-EI
库 I-EI
配 B-EI
置 I-EI
调 O
度 O
节 O
点 O
上 O
同 O
步 O
]
异 B-EO
步 I-EO
I B-EO
O I-EO
执 B-EO
行 I-EO
过 O
程 O
中 O
调 O
度 O
节 O
点 O
状 B-EO
态 I-EO
信 B-EO
息 I-EO
进 B-EO
行 I-EO
收 B-EO
集 I-EO
提 O
供 O
新 O
集 O
群 O
管 O
理 O
命 O
令 O
进 B-EO
行 I-EO
展 B-EO
现 I-EO
]
异 B-EI
步 I-EI
I B-EI
O I-EI
模 O
型 O
执 O
行 O
过 O
程 O
中 O
可 O
能 O
存 O
在 O
线 O
程 O
短 O
缺 O
导 O
致 O
阻 B-EI
塞 I-EI
自 O
动 O
进 O
行 O
检 O
测 O
自 O
动 O
进 O
行 O
处 B-EI
理 I-EI
]
允 O
许 O
集 O
群 O
自 O
动 O
检 O
测 O
处 O
理 O
分 B-EI
布 I-EI
式 I-EI
事 O
务 O
分 B-EI
布 I-EI
式 I-EI
死 B-EI
锁 I-EI
]
调 B-EI
度 I-EI
节 B-EI
点 I-EI
数 B-EI
据 I-EI
节 B-EI
点 I-EI
进 O
行 O
状 O
态 O
性 O
能 O
监 B-EI
控 I-EI
采 O
集 O
监 B-EI
控 I-EI
数 B-EI
据 I-EI
]
支 O
持 O
租 B-EI
户 I-EI
使 O
用 O
资 B-EI
源 I-EI
进 O
行 O
合 O
理 O
化 O
配 B-EI
置 I-EI
]
支 O
持 O
备 B-EQ
份 I-EQ
数 B-EQ
据 I-EQ
文 I-EQ
件 I-EQ
进 O
行 O
查 B-EQ
询 I-EQ
删 O
除 O
管 O
理 O
操 O
作 O
]
冗 O
余 O
副 B-EO
本 I-EO
数 B-EO
据 I-EO
支 O
持 O
副 B-EO
本 I-EO
数 B-EO
据 I-EO
进 O
行 O
实 O
时 O
监 B-EO
控 I-EO
]
支 O
持 O
传 O
统 O
架 O
构 O
下 B-EI
物 B-EI
理 I-EI
机 B-EI
环 O
境 O
中 B-EI
自 B-EI
动 I-EI
化 I-EI
编 B-EI
排 I-EI
部 B-EI
署 I-EI
]
支 O
持 O
集 O
群 O
任 B-EO
务 I-EO
展 B-EO
现 I-EO
自 O
动 O
化 O
更 O
新 O
方 O
便 O
用 O
户 O
了 O
解 O
集 O
群 O
工 O
作 O
状 O
态 O
]
统 B-EO
计 I-EO
云 O
端 O
发 O
生 O
数 O
据 O
流 B-EO
量 I-EO
]
支 O
持 O
对 B-EI
云 I-EI
D B-EI
B I-EI
A I-EI
A I-EI
S I-EI
节 B-EI
点 I-EI
实 O
例 O
进 O
行 O
快 O
照 O
管 O
理 O
创 B-EI
建 I-EI
删 O
除 O
]
允 O
许 O
配 O
置 O
设 O
定 O
集 O
群 O
允 O
许 O
执 O
行 O
S O
Q O
L O
语 O
句 O
模 O
板 O
]
自 O
动 O
收 O
集 O
汇 B-EO
总 I-EO
集 O
群 O
S B-EO
Q I-EO
L I-EO
执 B-EO
行 I-EO
过 O
程 O
中 O
统 B-EO
计 I-EO
信 O
息 O
提 O
供 O
集 O
群 O
命 O
令 O
进 B-EO
行 I-EO
展 O
现 O
]
提 O
供 O
集 B-EQ
群 I-EQ
拓 B-EQ
扑 I-EQ
展 B-EQ
现 I-EQ
工 O
具 O
允 O
许 O
d O
b O
s O
c O
a O
l O
e O
直 O
接 O
视 O
图 O
查 O
看 O
集 B-EQ
群 I-EQ
最 O
新 O
状 O
态 O
信 O
息 O
]
提 O
供 O
日 B-EI
志 I-EI
管 O
理 O
工 O
具 O
允 O
许 O
用 O
户 O
查 O
看 O
清 B-EI
理 I-EI
数 B-EI
据 I-EI
库 I-EI
日 B-EI
志 I-EI
]
允 O
许 O
集 B-EI
群 I-EI
自 O
动 O
安 O
装 O
过 O
程 O
中 B-EI
基 O
于 O
配 B-EI
置 I-EI
模 B-EI
板 I-EI
进 O
行 O
快 O
速 O
安 O
装 O
允 O
许 O
模 B-EI
板 I-EI
管 B-EI
理 I-EI
]
提 O
供 O
默 O
认 O
策 O
略 O
集 B-ILF
基 B-ILF
于 I-ILF
C O
I O
S O
或 O
同 O
等 O
级 O
合 O
规 O
标 B-ILF
准 I-ILF
配 O
置 O
默 O
认 O
检 B-ILF
查 I-ILF
策 O
略 O
]
提 O
供 O
保 B-ILF
三 B-ILF
级 I-ILF
核 B-ILF
查 I-ILF
策 O
略 O
集 B-ILF
]
支 O
持 O
检 B-ILF
查 I-ILF
标 O
准 O
库 B-ILF
随 O
意 O
切 O
换 O
]
自 B-ILF
定 I-ILF
义 I-ILF
核 B-ILF
查 I-ILF
策 B-ILF
略 I-ILF
条 O
目 O
进 O
行 O
在 O
线 O
离 O
线 O
校 O
验 O
]
支 O
持 O
帐 B-EO
户 I-EO
检 O
测 O
密 O
码 O
策 O
略 O
锁 O
定 O
策 O
略 O
用 O
户 O
组 O
特 O
权 O
策 O
略 O
审 O
核 O
审 O
计 O
策 O
略 O
检 B-EO
查 I-EO
]
安 O
全 O
选 O
项 O
运 O
行 O
保 O
护 O
端 O
口 O
服 O
务 O
检 B-EO
查 I-EO
]
核 B-ILF
查 I-ILF
策 B-ILF
略 I-ILF
条 O
目 O
设 O
定 O
分 O
值 O
权 B-ILF
重 I-ILF
修 O
改 O
参 O
